measurement_set_id,measurement_set_sequence,measurement_set_timestamp_utc,sample_index,sample_timestamp_utc,collector_id,device_name,environment,building,floor,capture_interval_seconds_config,wdutil_samples_config,wdutil_delay_seconds_config,unredactor_found,unredactor_parse_error,unredactor_ssid,unredactor_bssid,unredactor_interface,wdutil_ssid,wdutil_bssid,wdutil_rssi_dbm,wdutil_noise_dbm,wdutil_tx_rate,wdutil_channel,wdutil_mac_address,wdutil_security,wdutil_phy_mode,wdutil_mcs_index,wdutil_nss,wdutil_cca,legacy_extra_columns_json,raw_measurement_json_path
761b64e2ab2e,14,2026-04-28T00:12:36.559586+00:00,0,2026-04-28T00:12:36.652022+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-87,-93,17.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,1,1,36 %,null,data/wifi_raw/761b64e2ab2e.json
761b64e2ab2e,14,2026-04-28T00:12:36.559586+00:00,1,2026-04-28T00:12:37.824049+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-87,-93,17.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,1,1,36 %,null,data/wifi_raw/761b64e2ab2e.json
761b64e2ab2e,14,2026-04-28T00:12:36.559586+00:00,2,2026-04-28T00:12:39.024817+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c4:86:a2,en0,<redacted>,<redacted>,-87,-91,16.0 Mbps,2g1/20,<redacted> (hw=<redacted>),None,11ax,1,1,36 %,null,data/wifi_raw/761b64e2ab2e.json
ba03120a3377,15,2026-04-28T00:12:41.564747+00:00,0,2026-04-28T00:12:41.641339+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-75,0,0.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,5,2,0 %,null,data/wifi_raw/ba03120a3377.json
ba03120a3377,15,2026-04-28T00:12:41.564747+00:00,1,2026-04-28T00:12:42.858955+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-78,0,0.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,5,2,0 %,null,data/wifi_raw/ba03120a3377.json
ba03120a3377,15,2026-04-28T00:12:41.564747+00:00,2,2026-04-28T00:12:44.047400+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-78,0,0.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,5,2,0 %,null,data/wifi_raw/ba03120a3377.json
560b4aa542ea,16,2026-04-28T00:12:46.566249+00:00,0,2026-04-28T00:12:46.639636+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-80,-94,146.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,5,2,14 %,null,data/wifi_raw/560b4aa542ea.json
560b4aa542ea,16,2026-04-28T00:12:46.566249+00:00,1,2026-04-28T00:12:47.822308+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-80,-94,146.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,5,2,14 %,null,data/wifi_raw/560b4aa542ea.json
560b4aa542ea,16,2026-04-28T00:12:46.566249+00:00,2,2026-04-28T00:12:49.034678+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-80,-94,146.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,5,2,14 %,null,data/wifi_raw/560b4aa542ea.json
83a1ed0f2a15,17,2026-04-28T00:12:51.567290+00:00,0,2026-04-28T00:12:51.643401+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-80,-94,130.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,5,2,17 %,null,data/wifi_raw/83a1ed0f2a15.json
83a1ed0f2a15,17,2026-04-28T00:12:51.567290+00:00,1,2026-04-28T00:12:52.810127+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-77,-94,130.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,17 %,null,data/wifi_raw/83a1ed0f2a15.json
83a1ed0f2a15,17,2026-04-28T00:12:51.567290+00:00,2,2026-04-28T00:12:54.052562+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-74,-94,130.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,17 %,null,data/wifi_raw/83a1ed0f2a15.json
aefd3c2bc4ad,18,2026-04-28T00:12:56.572326+00:00,0,2026-04-28T00:12:56.648439+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-75,-94,146.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,22 %,null,data/wifi_raw/aefd3c2bc4ad.json
aefd3c2bc4ad,18,2026-04-28T00:12:56.572326+00:00,1,2026-04-28T00:12:57.849742+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-77,-94,146.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,4,2,22 %,null,data/wifi_raw/aefd3c2bc4ad.json
aefd3c2bc4ad,18,2026-04-28T00:12:56.572326+00:00,2,2026-04-28T00:12:59.030740+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-73,-94,146.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,6,2,22 %,null,data/wifi_raw/aefd3c2bc4ad.json
1391c949b7bc,19,2026-04-28T00:13:01.577429+00:00,0,2026-04-28T00:13:01.652060+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-78,-94,162.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,6,2,16 %,null,data/wifi_raw/1391c949b7bc.json
1391c949b7bc,19,2026-04-28T00:13:01.577429+00:00,1,2026-04-28T00:13:02.831042+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-76,-94,162.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,6,2,16 %,null,data/wifi_raw/1391c949b7bc.json
1391c949b7bc,19,2026-04-28T00:13:01.577429+00:00,2,2026-04-28T00:13:04.019080+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,54:33:c6:c6:79:e2,en0,<redacted>,<redacted>,-76,-94,162.0 Mbps,2g11/20,<redacted> (hw=<redacted>),None,11ax,6,2,16 %,null,data/wifi_raw/1391c949b7bc.json
